,MONTH,Monthly_Performance
0,2009-01,35.64
1,2009-02,37.62
2,2009-03,37.62
3,2009-04,37.62
4,2009-05,37.62
5,2009-06,37.62
6,2009-07,37.62
7,2009-08,37.62
8,2009-09,37.62
9,2009-10,37.62
10,2009-11,37.62
11,2009-12,37.62
12,2010-01,52.62
13,2010-02,46.62
14,2010-03,44.62
15,2010-04,37.62
16,2010-05,37.62
17,2010-06,37.62
18,2010-07,37.62
19,2010-08,37.62
20,2010-09,36.63
21,2010-10,37.62
22,2010-11,37.62
23,2010-12,37.62
24,2011-01,37.62
25,2011-02,37.62
26,2011-03,37.62
27,2011-04,51.62
28,2011-05,42.62
29,2011-06,50.62
30,2011-07,37.62
31,2011-08,37.62
32,2011-09,37.62
33,2011-10,37.62
34,2011-11,23.76
35,2011-12,37.62
36,2012-01,37.62
37,2012-02,37.62
38,2012-03,37.62
39,2012-04,37.62
40,2012-05,37.62
41,2012-06,37.62
42,2012-07,39.62
43,2012-08,47.62
44,2012-09,46.71
45,2012-10,42.62
46,2012-11,37.62
47,2012-12,37.62
48,2013-01,37.62
49,2013-02,27.72
50,2013-03,37.62
51,2013-04,33.66
52,2013-05,37.62
53,2013-06,37.62
54,2013-07,37.62
55,2013-08,37.62
56,2013-09,37.62
57,2013-10,37.62
58,2013-11,49.62
59,2013-12,38.62
